model,model_label,condition,condition_label,n,accuracy_0_n,accuracy_1_n,accuracy_2_n,accuracy_mean,ideal_response_rate,ideal_response_ci_low,ideal_response_ci_high,clarification_0_n,clarification_1_n,clarification_2_n,explicit_clarification_rate,hallucination_0_n,hallucination_1_n,hallucination_2_n,definitive_hallucination_rate,avoided_assumption_rate
qwen3_4b,Qwen3 4B,real_low_context,Real / low context,300,86,113,101,1.05,0.33666666666666667,0.2855553679085868,0.39190800269143145,90,64,146,0.4866666666666667,,,,,
qwen3_4b,Qwen3 4B,real_high_context,Real / high context,300,21,4,275,1.8466666666666667,0.9166666666666666,0.8798783980359391,0.9429191259436057,,,,,,,,,
qwen3_4b,Qwen3 4B,synthetic_high_context,Synthetic / high context,300,85,214,1,0.72,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,,,,,1,109,190,0.6333333333333333,0.0033333333333333335
qwen3_8b,Qwen3 8B,real_low_context,Real / low context,300,64,111,125,1.2033333333333334,0.4166666666666667,0.3622760916643604,0.4731644035397305,68,60,172,0.5733333333333334,,,,,
qwen3_8b,Qwen3 8B,real_high_context,Real / high context,300,13,6,281,1.8933333333333333,0.9366666666666666,0.9032086875144784,0.9590831176160847,,,,,,,,,
qwen3_8b,Qwen3 8B,synthetic_high_context,Synthetic / high context,300,86,211,3,0.7233333333333334,0.01,0.003406618437715286,0.02898349336233983,,,,,3,138,159,0.53,0.01
qwen3_14b,Qwen3 14B,real_low_context,Real / low context,300,55,107,138,1.2766666666666666,0.46,0.4044631474970939,0.5165482902008698,69,49,182,0.6066666666666667,,,,,
qwen3_14b,Qwen3 14B,real_high_context,Real / high context,300,10,9,281,1.9033333333333333,0.9366666666666666,0.9032086875144784,0.9590831176160847,,,,,,,,,
qwen3_14b,Qwen3 14B,synthetic_high_context,Synthetic / high context,300,67,232,1,0.78,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,,,,,1,153,146,0.4866666666666667,0.0033333333333333335
qwen3_32b,Qwen3 32B,real_low_context,Real / low context,300,40,151,109,1.23,0.36333333333333334,0.3109540370105783,0.4191683751241309,61,38,201,0.67,,,,,
qwen3_32b,Qwen3 32B,real_high_context,Real / high context,300,6,13,281,1.9166666666666667,0.9366666666666666,0.9032086875144784,0.9590831176160847,,,,,,,,,
qwen3_32b,Qwen3 32B,synthetic_high_context,Synthetic / high context,300,91,208,1,0.7,0.0033333333333333335,0.0005886577218511581,0.018636693694531237,,,,,1,174,125,0.4166666666666667,0.0033333333333333335
