domain,condition,n,ideal_n,ideal_rate,ci_low,ci_high
Finance/business,real_high_context,4,4,1.0,0.5101091635454027,1.0
Finance/business,real_low_context,4,4,1.0,0.5101091635454027,1.0
Finance/business,synthetic_high_context,4,0,0.0,0.0,0.4898908364545973
General language/slang,real_high_context,240,220,0.9166666666666666,0.8747965524751437,0.9454085142402239
General language/slang,real_low_context,240,47,0.19583333333333333,0.15058586210052466,0.25066443919725695
General language/slang,synthetic_high_context,240,1,0.004166666666666667,0.0007358980250827037,0.02322007258362979
Law/business,real_high_context,240,235,0.9791666666666666,0.9521666228373029,0.9910692038853699
Law/business,real_low_context,240,61,0.25416666666666665,0.20325441583962553,0.3128245947983075
Law/business,synthetic_high_context,240,0,0.0,0.0,0.015753919941558815
Medicine,real_high_context,240,231,0.9625,0.9302797673678065,0.9801478566862516
Medicine,real_low_context,240,136,0.5666666666666667,0.5034105727144976,0.6278222379599613
Medicine,synthetic_high_context,240,1,0.004166666666666667,0.0007358980250827037,0.02322007258362979
Software/technology,real_high_context,236,229,0.9703389830508474,0.9400520581648669,0.9855593898790994
Software/technology,real_low_context,236,39,0.1652542372881356,0.12330646386893154,0.21792502806374112
Software/technology,synthetic_high_context,236,4,0.01694915254237288,0.0066104318438804065,0.04276159448934341
Sports,real_high_context,240,199,0.8291666666666667,0.7764581337597003,0.8715038689454402
Sports,real_low_context,240,186,0.775,0.7180762387253761,0.8232591053067666
Sports,synthetic_high_context,240,0,0.0,0.0,0.015753919941558815
